x,y
698119409,1
2414934127,1
8055084263,1
5537099327,1
4993665543,1
2666928785,1
7730834350,0
5726227824,0
6800956768,0
167683344,0
5844313602,0
5392641534,0
6914204401,1
6116415813,1
8906847398,0
2981986400,0
4344730242,0
7317892877,1
534492133,1
1517378901,1
6008908985,1
5125111770,0
7556050239,1
4843255091,1
191410759,1
1979967400,0
3497763014,0
8474110243,1
292090438,0
7930676909,1
3014836017,1
79847625,1
7953933584,0
789639478,0
7381140372,0
3144252158,0
1341165747,1
6055444734,0
9573220227,1
1164026109,1
7695169133,1
3987698077,1
5953010313,1
251119548,0
7809108441,1
5294261303,1
5135654034,0
7503107693,1
8432137705,1
8430410449,1
5320939570,0
7257918832,0
4009713826,0
144856069,1
848832178,0
5053948564,0
4635488552,0
1741583343,1
5788811506,0
3489416677,1
7585862213,1
8540787618,0
3361406214,0
3233892760,0
2917496585,1
6620943729,1
1348484620,0
9925070263,1
7401006739,1
1048282612,0
4445138547,1
7165880993,1
8730205419,1
471349709,1
9031359407,1
7023152106,0
1724843598,0
4291366532,0
7479932446,0
7514900364,0
9116206716,0
5230663994,0
7103817501,1
7277127392,0
9661246527,1
4100886847,1
1992493012,0
4871212592,0
7870062953,1
4674473644,0
8455118448,0
4924315478,0
3073279136,0
9912199172,0
6662272830,0
3940354065,1
6641311135,1
6419679247,1
716795177,1
2045965857,1
7649981972,0
8721242220,0
3669462105,1
8059296606,0
67205915,1
8946197516,0
325014866,0
5314243221,1
6415267109,1
2491460454,0
1912045642,0
5720993816,0
2058647144,0
790540571,1
1130812149,1
8755442243,1
6083611322,0
8416798430,0
5021891612,0
1086383217,1
8090469469,1
9948308225,1
5413631485,1
976584811,1
6913833886,0
6476939553,1
2440387496,0
3187034334,0
904004193,1
4862211693,1
5148315715,1
1109911306,0
6512329273,1
1734747928,0
4755739590,0
1676753431,1
8083606019,1
5419042426,0
8895558018,0
3443678101,1
3575839019,1
9490268431,1
9000797540,0
5258842132,0
2124465697,1
6104804974,0
1046133290,0
2258027097,1
6098719097,1
8016695440,0
9044826434,0
350632253,1
2472804265,1
7127662705,1
1182936918,0
1750427960,0
5039338592,0
1904278306,0
9823641525,1
8293317833,1
3613287098,0
8542097382,0
4060919747,1
1072082414,0
9345611965,1
2584437573,1
7139670836,0
5889325449,1
9858918773,1
8637304214,0
9577165171,1
3914604453,1
6456515642,0
130085922,0
7340351412,0
8935412572,0
4648594842,0
4109856244,0
6890962478,0
7050374802,0
3634961972,0
5899207107,1
9481496035,1
2973191903,1
2980953622,0
1411905785,1
5432628012,0
2675402203,1
3201581543,1
4079255255,1
6641598754,0
3729464671,1
9982161243,1
3677269504,0
5779114415,1
2217162912,0
3000925963,1
